evt,grp,lnk,attendees,maploc,city,subcity,state,street,subcity_lat,subcity_lng,city_id
Urban Athletics: Ride to Fort Totten,"NYC Chill Hiking, Camping, and Other Activities",https://www.meetup.com/NYC-Chill-Hiking-Camping-Meetup/events/275600105,11,https://www.google.com/maps/search/api=1&query=Flatiron+Public+Plaza%2C+27+W+24th+St+Suite+800B%2C+New+York%2C+NY%2C+10010%2C+us&query_place_id=ChIJ8Yt6BKRZwokRQoQtLN9_2T8,Newark,New York,NY,27 W 24th St Suite 800B,42.73539279999999,-73.7132298,3
Midtown Murder Mystery Scavenger History Hunt,SINGLES TRAVEL AND ADVENTURE!,https://www.meetup.com/SINGLES-TRAVEL-AND-ADVENTURE/events/275554958,1,https://www.google.com/maps/search/api=1&query=Broadway+Entrance+at+34th%2F35th%2C+New+York%2C+NY%2C+us,Newark,New York,NY,Broadway Entrance at 34th/35th,40.857977000000005,-73.930904,3
Eagle Rock Reservation bring a newbie beginner 4-5 miles,Trail Shrinks,https://www.meetup.com/trailshrinks/events/275798719,24,https://www.google.com/maps/search/api=1&query=40.810840%2C-74.234490,Newark,West Orange,NJ,Crest Dr,40.80339420000001,-74.2382416,2
Drive-In Movie Night Series,JCFamilies,https://www.meetup.com/JCFamilies/events/275750360,8,https://www.google.com/maps/search/api=1&query=107+Morgan+St%2C+107+Morgan+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJdRGHOaxQwokRBoZblxPrgUM,Newark,Jersey City,NJ,107 Morgan St,40.71979,-74.038622,2
Bayonne Book Club Meetup - Bad Monkey by Carl Hiaasen,Bayonne Book Club - The Life I Left Behind by Colette McBeth,https://www.meetup.com/Bayonne-Book-Club/events/275758392,1,https://www.google.com/maps/search/api=1&query=1075+Broadway%2C+Bayonne%2C+NJ%2C+07002%2C+us,Newark,Bayonne,NJ,1075 Broadway,40.6667697,-74.1154202,2
West Orange Breastfeeding Support Group,West Orange New Moms Meetup,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275746658,1,https://www.google.com/maps/search/api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,Newark,West Orange,NJ,253 Main St,40.798711299999994,-74.2390353,2
Prenatal Yoga and Meditation,West Orange Pregnancy Meetup,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275737290,1,https://www.google.com/maps/search/api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,Newark,West Orange,NJ,253 Main St,40.798711299999994,-74.2390353,2
Storytime at Columbus Library,Midtown Mamas,https://www.meetup.com/Midtown-Mamas/events/275726908,0,https://www.google.com/maps/search/api=1&query=742+10th+Ave+%28between+50+and+51+Sts.%2C+New+York%2C+NY%2C+us,Newark,New York,NY,742 10th Ave (between 50 and 51 Sts.,40.766684000000005,-73.996493,3
Annual MLK Day Reflection Hike,HIKEOLUTION,https://www.meetup.com/HIKEOLUTION/events/275723348,22,https://www.google.com/maps/search/api=1&query=40.755500%2C-74.291405,Newark,Maplewood,NJ,64 Cherry Ln,40.731729,-74.24565799999999,2
Experience Pranic Healing and Meditation on Twin Hearts,Meditation on Twin Hearts,https://www.meetup.com/meetup-group-ZVKtzOVt/events/275758899,2,https://www.google.com/maps/search/api=1&query=420+Valley+Brook+Avenue%2C+Lyndhurst+07071%2C+Lyndhurst%2C+NJ%2C+us,Newark,Lyndhurst,NJ,"420 Valley Brook Avenue, Lyndhurst 07071",40.8094,-74.1245,2
Kundalini Yoga and Meditation,Montclair NJ Kundalini Yoga and Meditation Meetup Group,https://www.meetup.com/Montclair-NJ-Kundalini-Yoga-and-Meditation-Meetup-Group/events/275726675,1,https://www.google.com/maps/search/api=1&query=40.821861%2C-74.219841,Newark,Montclair,NJ,127 Valley Road,40.8164458,-74.2210643,2
ONLINE Lunchtime Meditation ,Meditation in Maplewood and Millburn,https://www.meetup.com/Dharmachakra-Buddhist-Center/events/275790380,1,https://www.google.com/maps/search/api=1&query=40.720901%2C-74.288803,Newark,Vauxhall,NJ,2933 Vauxhall Road,40.73149,-74.28293000000001,2
Primordial Qigong,Primordial Qigong and Taiji Healing,https://www.meetup.com/Primordial-Qigong/events/275734703,3,https://www.google.com/maps/search/api=1&query=40.717136%2C-73.998001,Newark,New York,NY,191 Canal St,40.7127281,-74.0060152,3
Meditation for Beginners - Free Webinar & Online offerings,Inner Engineering New York (Isha Yoga & Meditation Classes),https://www.meetup.com/Inner-Engineering-New-York-Isha-Yoga-Meditation-Classes/events/275796627,2,https://www.google.com/maps/search/api=1&query=..%2C+New+York%2C+ny%2C+10001%2C+us,Newark,New York,NY,..,40.7127281,-74.0060152,3
"Introduction to Somatic Therapy, Core Energetics & Body-Based Psychotherapy",Energy Healers NYC,https://www.meetup.com/EnergyHealersNYC/events/275777601,1,https://www.google.com/maps/search/api=1&query=40.746738%2C-73.992882,Newark,New York,NY,150 W 28th St suite 1101 b,40.746883200000006,-73.9928245,3
Introduction to Core Energetics (Body-Oriented Psychotherapy),"Love, Happiness & Success NYC",https://www.meetup.com/LoveHappinessSuccess/events/275777603,1,https://www.google.com/maps/search/api=1&query=150W+W+28th+St%2C+150W+W+28th+St%2C+New+York%2C+NY%2C+10001%2C+us&query_place_id=ChIJqcY2ia9ZwokRoPagk6l4gsM,Newark,New York,NY,150W W 28th St,40.746583,-73.991653,3
ZOOM EVENT: WHY ARE SOME PEOPLE CRUEL,Cafe Philo New York,https://www.meetup.com/New-York-Cafe-Philo/events/275622033,5,https://www.google.com/maps/search/api=1&query=40.704727%2C-74.010640,Newark,New York,NY,10 South William St,40.704803999999996,-74.01039399999999,3
"weekly astronomy / physics, see details section for RSVP info, sometimes cancels","#""AAA.org & Darwin fans!"" Astronomy, Evolution, Science, NYC",https://www.meetup.com/NYC-Evolution-Meetup/events/275687387,3,https://www.google.com/maps/search/api=1&query=40.712784%2C-74.005943,Newark,New York,NY,link in description of event,40.799948,-73.95119,3
