state,city,event_name,group_name,attendees,lat,lng,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address
NJ,Hoboken,Volunteer Trip - Paddle North - 6 mile round trip,Hoboken Cove Community Boathouse,3,40.7433066,-74.0323752,Outdoors & Adventure,https://www.meetup.com/Hoboken-Cove-Community-Boathouse/events/275865290,Frank Sinatra Dr,https://www.google.com/maps/search/?api=1&query=40.748386%2C-74.024025,40.741667,-74.026392,"""Frank Sinatra Dr Hoboken, NJ"""
NY,New York,Monthly meeting and Trip planning,New York Caving Meetup Group,6,40.7127281,-74.0060152,Outdoors & Adventure,https://www.meetup.com/New-York-Cavers/events/275376807,  569 Hudson St,https://www.google.com/maps/search/?api=1&query=40.735905%2C-74.006180,40.735845,-74.00596,"""  569 Hudson St New York, NY"""
NY,New York,Hudson Walkway Loop/Reese Park Social Distancing 6 Mile Hike/Walk,"New York Hikes, Happy Hours & Outdoor Adventures",2,40.7127281,-74.0060152,Outdoors & Adventure,https://www.meetup.com/New-York-Hikes-Happy-Hours-and-Outdoor-Adventures/events/275555724,Your Guide will meet you when you get out from the train at Poughkeepsie,https://www.google.com/maps/search/?api=1&query=Your+Guide+will+meet+you+when+you+get+out+from+the+train+at+Poughkeepsie%2C+New+York%2C+NY%2C+us,40.709686,-74.011674,"""Your Guide will meet you when you get out from the train at Poughkeepsie New York, NY"""
NY,New York,Private Social Distancing NYC Subways & Stations History Tour,SINGLES TRAVEL AND ADVENTURE!,1,40.7127281,-74.0060152,Outdoors & Adventure,https://www.meetup.com/SINGLES-TRAVEL-AND-ADVENTURE/events/275555362,"416 8th ave, Corner of 31st",https://www.google.com/maps/search/?api=1&query=40.750084%2C-73.994670,40.750179,-73.994932,"""416 8th ave, Corner of 31st New York, NY"""
NJ,West Orange,West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,40.7987113,-74.2390353,Family,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"""253 Main St West Orange, NJ"""
NJ,West Orange,Sunday Morning Prenatal Yoga,West Orange Pregnancy Meetup,1,40.7987113,-74.2390353,Family,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275824180,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"""253 Main St West Orange, NJ"""
NJ,Jersey City,My Gym Little Bundles Classes,JCFamilies,1,40.7281575,-74.0776417,Family,https://www.meetup.com/JCFamilies/events/275886037,252 9th St,https://www.google.com/maps/search/?api=1&query=My+Gym+Jersey+City%2C+252+9th+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJ4zCr0U1XwokRIuPy2hdo2Yo,40.728409,-74.044491,"""252 9th St Jersey City, NJ"""
NY,New York,Jolly January,Humorous Toastmasters,3,40.7127281,-74.0060152,Learning,https://www.meetup.com/Toastmasters-New-York/events/275917096,Online,https://www.google.com/maps/search/?api=1&query=Online%2C+New+York%2C+ny%2C+10001%2C+us,40.6988321,-73.9946772,"""Online New York, NY"""
NY,New York,ZOOM EVENT: HOW DOES SOCIAL CONTRACT THEORY GUIDE US?,Cafe Philo New York,2,40.7127281,-74.0060152,Learning,https://www.meetup.com/New-York-Cafe-Philo/events/275901201,10 South William St,https://www.google.com/maps/search/?api=1&query=40.704727%2C-74.010640,40.704804,-74.010394,"""10 South William St New York, NY"""
NY,New York,"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,1,40.7127281,-74.0060152,Photography,https://www.meetup.com/photography-classes-nyc/events/274851102,51 W 14th St #3r,https://www.google.com/maps/search/?api=1&query=40.737290%2C-73.995834,42.7245634,-73.7009225,"""51 W 14th St #3r New York, NY"""
