event_name,group_name,attendees,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address,city_id
Let's meet up and sing!,BucksMont Squires of Song,1,Music,https://www.meetup.com/BucksMont-Squires-of-Song/events/275876162,301 E. Maple Ave,https://www.google.com/maps/search/api=1&query=40.177586%2C-74.913460,40.203881,-74.89768000000002,"301 E. Maple Ave Langhorne, PA",197
Pokemon Casual Play League,Family Fun Hobbies' Pokemon League,1,Sci-Fi & Games,https://www.meetup.com/Family-Fun-Hobbies-Pokemon-League/events/275826741,"731 Highway 33, Suite 3",https://www.google.com/maps/search/api=1&query=40.231483%2C-74.679085,40.210698,-74.01722,"731 Highway 33, Suite 3 Hamilton, NJ",29
Miniatures Melee at Lookin' for Games,Lookin For Games,1,Sci-Fi & Games,https://www.meetup.com/Lookin-For-Games/events/275828332,4354 New Falls Road,https://www.google.com/maps/search/api=1&query=4354+New+Falls+Road%2C+Levittown+%2C+PA%2C+19056%2C+us,40.1574174,-74.8322245,"4354 New Falls Road Levittown , PA",200
"""Dr. UFO presents ... """,FRINGE New Jersey,3,Beliefs,https://www.meetup.com/FRINGEnewjersey/events/275871479,18 E. Union Street ,https://www.google.com/maps/search/api=1&query=40.143364%2C-74.707321,40.143566,-74.707891,"18 E. Union Street  Bordentown, NJ",9
Zoom online format A Course in Miracles Circle,"Live, Love, Laugh at Soulutions of Newtown",1,Beliefs,https://www.meetup.com/Live-Love-Laugh-at-Soulutions-of-Newtown/events/275898470,126 N. State St.,https://www.google.com/maps/search/api=1&query=40.231380%2C-74.936661,40.23105200000001,-74.93657900000002,"126 N. State St. Newtown, PA",205
ONE DAY ONLY - Free One Day Pass to Grounds For Sculpture for One Member,Central Jersey 56 Plus,1,Arts,https://www.meetup.com/CJ-56plus/events/275869354,80 Sculptors Way,https://www.google.com/maps/search/api=1&query=40.236970%2C-74.719210,40.215482,-74.673168,"80 Sculptors Way Hamilton Township, NJ",30
Secrets of the Battle of Princeton: History and Nature Walk,Secrets of the Battle of Princeton Tours,20,Arts,https://www.meetup.com/Secrets-of-the-Princeton-Battlefield-Tours/events/272652579,500 Mercer St ,https://www.google.com/maps/search/api=1&query=40.331272%2C-74.676640,40.3492744,-74.6592958,"500 Mercer St  Princeton, NJ",71
"LBNA - FALLS, PA MEETS EVERY WEDNESDAY 12:30PM -01:30PM",Lower Bucks Networking Association Meetup Group,2,Career & Business,https://www.meetup.com/Lower-Bucks-Networking-Association-Meetup-Group/events/275723291,980 Trenton Rd,https://www.google.com/maps/search/api=1&query=40.187866%2C-74.828094,40.833216,-76.088718,"980 Trenton Rd Fairless Hills, PA",187
Join us for Breakfast and bring plenty of Business Cards!,LeTip of Newtown,1,Career & Business,https://www.meetup.com/LeTip-of-Newtown/events/275884163,82 East Afton Avenue,https://www.google.com/maps/search/api=1&query=82+East+Afton+Avenue%2C+Yardley%2C+PA%2C+19067%2C+us,40.24454,-74.83671,"82 East Afton Avenue Yardley, PA",223
Trenton Real Estate --- hear from talented local and national investors,Trenton Real Estate Hackers Meetup,2,Career & Business,https://www.meetup.com/Trenton-Real-Estate-Investors-Meetup/events/275867929,"354 S Broad St,",https://www.google.com/maps/search/api=1&query=354+S+Broad+St%2C%2C+Trenton%2C+NJ%2C+us,40.214645,-74.76100100000002,"354 S Broad St, Trenton, NJ",86
Free Hard Networking Group w/ 26 Members - Looking For New Members,Lower Bucks Business Connections,1,Career & Business,https://www.meetup.com/Lower-Bucks-Business-Connections/events/275863236,1262 Wood Lane  Ste 106/107,https://www.google.com/maps/search/api=1&query=1262+Wood+Lane++Ste+106%2F107%2C+Langhorne%2C+PA%2C+us,40.848217,-75.70739300000002,"1262 Wood Lane  Ste 106/107 Langhorne, PA",197
Letip of Newtown,Philly Biz Connects,1,Career & Business,https://www.meetup.com/phillybizconnects/events/275884152,82 E Afton Ave,https://www.google.com/maps/search/api=1&query=40.244896%2C-74.836647,40.24454,-74.83671,"82 E Afton Ave Yardley, PA",223
