state,city,category,event_name,group_name,attendees,event_link,lat,lng,population
NJ,Jersey City,Family,Sunday Morning Prenatal Yoga,West Orange Pregnancy Meetup,1,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275824180,40.7161,-74.0682,262075
NJ,Jersey City,Learning,Let's Meet Up for Happy Hour,NYC Bicycle Commuting,4,https://www.meetup.com/NYC-Bicycle-Commuting/events/275287046,40.7161,-74.0682,262075
NJ,Jersey City,Learning,BCI Hardware & Deep Learning Project Night,NYC Brain-Computer Interface meetup,4,https://www.meetup.com/NYC-BCI-meetup/events/275755153,40.7161,-74.0682,262075
NJ,Jersey City,Learning,Central Park Speakers (IN PERSON) - Public Speaking Practice ,Central Park Speakers (in person),4,https://www.meetup.com/Central-Park-Speakers-IN-PERSON/events/275874023,40.7161,-74.0682,262075
NJ,Jersey City,Learning,Private Hands on  Ultrasound Training in Regional Anesthesia & Pain Mgt.,Ultrasound Guided Interventional Pain & Regional Anesthesia,1,https://www.meetup.com/ultrasound-guided-interventional-pain-regional-anesthesia/events/275896163,40.7161,-74.0682,262075
NJ,Jersey City,Learning,Jolly January,Humorous Toastmasters,3,https://www.meetup.com/Toastmasters-New-York/events/275917096,40.7161,-74.0682,262075
NJ,Jersey City,Learning,Socrates Cafe,"Socrates Cafe of Teaneck, NJ",9,https://www.meetup.com/Socrates-Cafe-Teaneck/events/275419550,40.7161,-74.0682,262075
NJ,Jersey City,Learning,ZOOM EVENT: HOW DOES SOCIAL CONTRACT THEORY GUIDE US?,Cafe Philo New York,2,https://www.meetup.com/New-York-Cafe-Philo/events/275901201,40.7161,-74.0682,262075
NJ,Jersey City,Learning,Toastmasters Meeting,Bay Ridge Toastmasters,1,https://www.meetup.com/Bay-Ridge-Toastmasters/events/275896680,40.7161,-74.0682,262075
NJ,Jersey City,Photography,Photography thru The Museum of Modern Art,Michael Downey Photography,3,https://www.meetup.com/MAD-Photo-Excursions/events/275653633,40.7161,-74.0682,262075
NJ,Jersey City,Photography,"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,1,https://www.meetup.com/photography-classes-nyc/events/274851102,40.7161,-74.0682,262075
NJ,Jersey City,LGBTQ,Brunch @Blvd Bistro,KINGZ,5,https://www.meetup.com/KINGZ-A-Black-Gay-Collective/events/275806244,40.7161,-74.0682,262075
NJ,Jersey City,LGBTQ,Black Lotus Project: A Virtual Gathering of Black Bisexual+ Men,NYC Tri-State Area Bisexual+ SGL Queer & Questioning Meetup,6,https://www.meetup.com/bisexual-nyc/events/275652731,40.7161,-74.0682,262075
NJ,Jersey City,LGBTQ,"Book to be discussed:  ""Swimming in the Dark"" by Tomasz Jedrowski",NYC Gay Guys' Book Club,16,https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,40.7161,-74.0682,262075
NJ,Jersey City,LGBTQ,Pre-Vday Sip and Pour: Candle Making Class,AALUSC,1,https://www.meetup.com/AALUSC/events/275834564,40.7161,-74.0682,262075
NJ,Jersey City,LGBTQ,"Book to be discussed: ""The White Guard"" by Mikhail Bulgakov",The Third Monday Gay Men's Book Club,6,https://www.meetup.com/The-Third-Monday-Gay-Guys-Book-Club/events/275709827,40.7161,-74.0682,262075
NJ,Jersey City,Film,Steele Wool by Frank A. Cappello,Oddball Cinema,1,https://www.meetup.com/Oddball-Cinema/events/275407602,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,Sunday Funday Magic the Gathering in Brooklyn,I'd Tap That - NYC Chapter (Casual Magic the Gathering),1,https://www.meetup.com/Id-Tap-That-Brooklyn-Chapter-Casual-Magic-the-Gathering/events/275830540,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,Tabletop Game Night,Brooklyn Strategist Evening Events Meetup,2,https://www.meetup.com/Brooklyn-Strategist-Evening-Events-Games-Meetup/events/275799502,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,Thursday Gaming!,NYC VTES,1,https://www.meetup.com/nyc-vtes/events/275919850,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,The Yet-To-Be-Named-By-The-Players-Squad (Roster Full),Gamers Of Northern New Jersey,7,https://www.meetup.com/Gamers-Of-NNJ/events/272960518,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,Weekly at Helix,"NYC/NJ ANIME, SONICBOXX GAMING, COSPLAY, KARAOKE EVENTS,",1,https://www.meetup.com/Sonicboxx/events/275832966,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,"""Deep Stack 1/3 NLH Thursdays""",Poker Night Out NYC,1,https://www.meetup.com/Poker-Night-Out-NYC/events/275916479,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,NLH poker game 1/3,NY NL Holdem game,1,https://www.meetup.com/NYC-Home-Holdem-game/events/275899187,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,1-3 NL Holdem' sometimes PLO,BULLDOG POKER Group in BROOKLYN,1,https://www.meetup.com/Brooklyn-Bulldog-Poker-Club-Near-Barclays-Center/events/275920959,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,Fundraiser for Cosplay Workshop EVENTS,Crystal Manga Cafe,1,https://www.meetup.com/Crystal-Manga-Cafe/events/275896949,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,Gotham Go Group - Tuesdays at the Hungarian,NY Mostly Go Club,1,https://www.meetup.com/mostlygo/events/275872846,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,D&D 5E - Adventurers League,The NYC Dungeons & Dragons Meetup Group,1,https://www.meetup.com/NYC-DND/events/269487570,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,Tuesday Night Settlers of Catan,NYC Settlers of Catan Meetup Group,1,https://www.meetup.com/SettlersNYC/events/275873896,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,$2-5 NL Holdem (with potential for late night PLO),Williamsburg Poker Club - Brooklyn's Best Low Stakes Game!,1,https://www.meetup.com/Williamsburg-Poker-Club-The-Best-and-Most-Fun-Poker-Game/events/275855766,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,"Free Poker Monday at City Lounge in Lyndhurst, NJ - monthly prizes & more!",WorldFreePoker.com,1,https://www.meetup.com/worldfreepoker/events/275854187,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,1/3NLHOLDEM MONDAY NIGHT GAME  730PM ,5050 pokerclub,1,https://www.meetup.com/5050-pokerclub/events/275856046,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,$75 Rebuy tournament,Queens Poker Donkey club,1,https://www.meetup.com/Queens-Donkey-club/events/275919648,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,Tekken Taco Tuesday! (Tekken 7 Tournaments) ,Coexist Gaming,1,https://www.meetup.com/Coexist-Gaming/events/275873599,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,Sports Sunday,Team1upem Arcade Parties,1,https://www.meetup.com/Team1upem-Arcade-Parties/events/275830433,40.7161,-74.0682,262075
NJ,Jersey City,Sci-Fi & Games,Open Gaming + Dev Days,"Today, After Work (Board Games)",0,https://www.meetup.com/After-Work-Board-Games/events/275919346,40.7161,-74.0682,262075
NJ,Jersey City,Arts,BYOB PAINT NIGHT ,Art Parties and Art Therapy,1,https://www.meetup.com/fairview-art-therapy-meetup-group/events/275774394,40.7161,-74.0682,262075
NJ,Jersey City,Arts,Sip and Paint Valentines Day Pet Portrait Fun Party at Barking Dog,New York Pets and Fun Paint Party Meetup,1,https://www.meetup.com/New-York-Pets-Fun-Paint-Party-Meetup/events/275688279,40.7161,-74.0682,262075
NJ,Jersey City,Arts,Painting self love,Brooklyn painting club,5,https://www.meetup.com/Brooklyn-painting-club/events/275798870,40.7161,-74.0682,262075
NJ,Jersey City,Arts,FREE- OPEN STAGE - The Original NYC Talent show,The Original NYC Talent Show,3,https://www.meetup.com/The-Original-NYC-Talent-Show/events/275837731,40.7161,-74.0682,262075
NJ,Jersey City,Arts,[Virtual] Let's Draw: Every Saturday !,Imaginative Illustrators Of NYC,6,https://www.meetup.com/Imaginative-Illustrators-Of-NYC/events/275157782,40.7161,-74.0682,262075
NJ,Jersey City,Arts,ART-FULL MEMBERS ONLY: February Brunch & Culture Outing: The Whitney Museum,Women of Culture NYC,3,https://www.meetup.com/WomenofcultureNYC/events/275880021,40.7161,-74.0682,262075
NJ,Jersey City,Arts,Mind Your Manners Secret Speakeasy Sun Jan 24th 2021 7pm,NY Steampunk - Artists & Enthusiasts,1,https://www.meetup.com/steampunk/events/275520135,40.7161,-74.0682,262075
NJ,Jersey City,Arts,Weekly Weds Figure Drawing- 1/5/10/20 minute poses!,Jersey City Artists,2,https://www.meetup.com/Jersey-City-Artists/events/275733289,40.7161,-74.0682,262075
NJ,Jersey City,Arts,First Mondays Life Drawing Session,Old Stone House Drawing Studio,1,https://www.meetup.com/http-theoldstonehouse-org-events/events/274933995,40.7161,-74.0682,262075
NJ,Jersey City,Arts,RSVP so you remember to change clocks >>>>> Spring Forward,Random Fun Stuff I Want To Do On a Short Notice Club,9,https://www.meetup.com/Random-Fun-Stuff-I-Want-To-Do-On-a-Short-Notice-Club/events/275836480,40.7161,-74.0682,262075
