event_link,event_loc_state,event_loc_city,event_street,Google_Map_Link
https://www.meetup.com/Crystal-Manga-Cafe/events/275896949,NY,TBA,TBA,https://www.google.com/maps/search/?api=1&query=TBA%2C+TBA%2C+NY%2C+us
https://www.meetup.com/mostlygo/events/275872846,NY,New York,Amsterdam Ave. between 110 - 111th Streets,https://www.google.com/maps/search/?api=1&query=40.800430%2C-73.965714
https://www.meetup.com/NYC-DND/events/269487570,NY,New York,11 East 33rd Street,https://www.google.com/maps/search/?api=1&query=11+East+33rd+Street%2C+New+York%2C+NY%2C+10016%2C+us
https://www.meetup.com/SettlersNYC/events/275873896,NY,New York,"1551 3rd Avenue, New York, NY 10128",https://www.google.com/maps/search/?api=1&query=40.779690%2C-73.952911
https://www.meetup.com/Williamsburg-Poker-Club-The-Best-and-Most-Fun-Poker-Game/events/275855766,NY,Brooklyn,Email or text,https://www.google.com/maps/search/?api=1&query=Email+or+text%2C+Brooklyn%2C+NY%2C+11206%2C+us
https://www.meetup.com/worldfreepoker/events/275854187,NJ,Lyndhurst,455 Valley Brook Ave,https://www.google.com/maps/search/?api=1&query=City+Lounge%2C+455+Valley+Brook+Ave%2C+Lyndhurst%2C+NJ%2C+07071%2C+us&query_place_id=ChIJ3Ro4kwBWwokRZj3tub1WHU8
https://www.meetup.com/5050-pokerclub/events/275856046,NY,Brooklyn,Address to be given via text,https://www.google.com/maps/search/?api=1&query=Address+to+be+given+via+text%2C+Brooklyn%2C+NY%2C+us
https://www.meetup.com/Queens-Donkey-club/events/275919648,NY,New York,1234,https://www.google.com/maps/search/?api=1&query=1234%2C+New+York%2C+NY%2C+us
https://www.meetup.com/Coexist-Gaming/events/275873599,NY,Brooklyn ,591 Central Ave Unit 1,https://www.google.com/maps/search/?api=1&query=40.689180%2C-73.909090
https://www.meetup.com/Team1upem-Arcade-Parties/events/275830433,NY,Brooklyn ,591 Central Ave Unit 1,https://www.google.com/maps/search/?api=1&query=40.689180%2C-73.909090
https://www.meetup.com/After-Work-Board-Games/events/275919346,NY,New York,119 Chambers St,https://www.google.com/maps/search/?api=1&query=40.715412%2C-74.008430
https://www.meetup.com/fairview-art-therapy-meetup-group/events/275774394,NJ,Fairview,394 Walker St,https://www.google.com/maps/search/?api=1&query=40.817436%2C-73.996670
https://www.meetup.com/New-York-Pets-Fun-Paint-Party-Meetup/events/275688279,NY,New York,1678 3rd Ave,https://www.google.com/maps/search/?api=1&query=Barking+Dog%2C+1678+3rd+Ave%2C+New+York%2C+NY%2C+10128%2C+us&query_place_id=ChIJfWR-y6VYwokRWrgtJnJvfYU
https://www.meetup.com/Brooklyn-painting-club/events/275798870,NY,Brooklyn,Prospect Park,https://www.google.com/maps/search/?api=1&query=Prospect+Park%2C+Brooklyn%2C+NY%2C+11215%2C+us
https://www.meetup.com/The-Original-NYC-Talent-Show/events/275837731,NY,Queens,10-93 Jackson Ave,https://www.google.com/maps/search/?api=1&query=40.743229%2C-73.951668
https://www.meetup.com/Imaginative-Illustrators-Of-NYC/events/275157782,NY,New York,,https://www.google.com/maps/search/?api=1&query=40.712776%2C-74.005974
https://www.meetup.com/WomenofcultureNYC/events/275880021,NY,New York,765 Washington St,https://www.google.com/maps/search/?api=1&query=Entwine%2C+765+Washington+St%2C+New+York%2C+NY%2C+10014%2C+us&query_place_id=ChIJ-97gwepZwokR9g3gqA5kl7s
https://www.meetup.com/steampunk/events/275520135,NE,New York,"177 Prince St, New York, NY 10012",https://www.google.com/maps/search/?api=1&query=177+Prince+St%2C+New+York%2C+NY+10012%2C+New+York%2C+Ne%2C+10012%2C+us
https://www.meetup.com/Jersey-City-Artists/events/275733289,NJ,Jersey City,29 McWilliams Pl.,https://www.google.com/maps/search/?api=1&query=29+McWilliams+Pl.%2C+Jersey+City%2C+NJ%2C+us
https://www.meetup.com/http-theoldstonehouse-org-events/events/274933995,NE,Brooklyn,"Old Stone House, 336 3rd St, Brooklyn, NY 11215",https://www.google.com/maps/search/?api=1&query=40.672997%2C-73.984619
