event_link,event_state,event_city,event_street,Google_Map_Link
https://www.meetup.com/EnergyHealersNYC/events/275777601,NY,New York,150 W 28th St suite 1101 b,https://www.google.com/maps/search/?api=1&query=40.746738%2C-73.992882
https://www.meetup.com/LoveMaze/events/275714644,NY,New York,,https://www.google.com/maps/search/?api=1&query=40.712776%2C-74.005974
https://www.meetup.com/LoveHappinessSuccess/events/275777603,NY,New York,150W W 28th St,https://www.google.com/maps/search/?api=1&query=150W+W+28th+St%2C+150W+W+28th+St%2C+New+York%2C+NY%2C+10001%2C+us&query_place_id=ChIJqcY2ia9ZwokRoPagk6l4gsM
https://www.meetup.com/New-York-Cafe-Philo/events/275622033,NY,New York,10 South William St,https://www.google.com/maps/search/?api=1&query=40.704727%2C-74.010640
https://www.meetup.com/NYC-Evolution-Meetup/events/275687387,NY,New York,link in description of event,https://www.google.com/maps/search/?api=1&query=40.712784%2C-74.005943
https://www.meetup.com/NYC-Bicycle-Commuting/events/275287046, , , , 
https://www.meetup.com/NYC-BCI-meetup/events/275755153, ,New York,28 Liberty St,https://www.google.com/maps/search/?api=1&query=40.707760%2C-74.008850
https://www.meetup.com/photography-classes-nyc/events/274851102,NY,New York,51 W 14th St #3r,https://www.google.com/maps/search/?api=1&query=40.737290%2C-73.995834
https://www.meetup.com/A-little-bit-of-this-and-a-little-of-that/events/275427276,NJ,Columbia,89 Mount Pleasant Road,https://www.google.com/maps/search/?api=1&query=89+Mount+Pleasant+Road%2C+Columbia%2C+NJ%2C+07832%2C+us
https://www.meetup.com/New-Jersey-Foodies-Drinkies/events/275313732,NJ,Secaucus,151 Front St,https://www.google.com/maps/search/?api=1&query=40.790756%2C-74.058950
https://www.meetup.com/meetup-group-fnuzmite/events/275581098,NY,New York,626 10th Ave,https://www.google.com/maps/search/?api=1&query=Le+Priv%C3%A9%2C+626+10th+Ave%2C+New+York%2C+NY%2C+10036%2C+us&query_place_id=ChIJzdsrBVJYwokRcgaS-AtJMT4
https://www.meetup.com/Romantic-Cooking-Club/events/275629341,NY,New York,,https://www.google.com/maps/search/?api=1&query=40.712776%2C-74.005974
https://www.meetup.com/The-Cornwall-Writers-Circle/events/275736365,ny,New York,See Description Box for,https://www.google.com/maps/search/?api=1&query=40.742947%2C-73.984604
https://www.meetup.com/shutupandwriteNYC/events/275778873,NY,New York,26 1st Avenue,https://www.google.com/maps/search/?api=1&query=40.723694%2C-73.987831
https://www.meetup.com/ESOLclasses/events/275070625,ny,New York,Web-Based Remote Event,https://www.google.com/maps/search/?api=1&query=40.712776%2C-74.005974
https://www.meetup.com/New-York-Learn-the-Russian-Language-Meetup/events/275756376,NY,New York,275 Greenwich Street,https://www.google.com/maps/search/?api=1&query=275+Greenwich+Street%2C+New+York%2C+NY%2C+10007%2C+us
https://www.meetup.com/Russian-Conversation-Reading-Meetup/events/275756196,NY,New York,119 MacDougal Street,https://www.google.com/maps/search/?api=1&query=119+MacDougal+Street%2C+New+York%2C+NY%2C+10012%2C+us
https://www.meetup.com/nycrussian/events/275165637, , , , 
https://www.meetup.com/le-look-parfait-retail-therapy-club/events/275775807,NY,New York,89 7th Ave,https://www.google.com/maps/search/?api=1&query=40.739418%2C-73.998871
https://www.meetup.com/j-kuru/events/275638509,NY,NY,NY,https://www.google.com/maps/search/?api=1&query=40.750000%2C-73.989998
https://www.meetup.com/koreancultureny/events/275731134,NY,New York,38 West 32nd Street,https://www.google.com/maps/search/?api=1&query=40.747902%2C-73.987366
https://www.meetup.com/koreancc/events/275712882, ,New York,38 West 32nd Street,https://www.google.com/maps/search/?api=1&query=40.747772%2C-73.987411
https://www.meetup.com/languageclasses/events/275776227,ny,New York,Web-Based Remote Event,https://www.google.com/maps/search/?api=1&query=40.712776%2C-74.005974
https://www.meetup.com/NYC-Language-Exchange-Meetup/events/275715964,NY,New York,247 W 37th St,https://www.google.com/maps/search/?api=1&query=40.754047%2C-73.991440
https://www.meetup.com/The-English-Lounge-new-york/events/275770605,NY,New York,38 W 32nd St. #1212,https://www.google.com/maps/search/?api=1&query=38+W+32nd+St.+%231212%2C+New+York%2C+NY%2C+10001%2C+us
https://www.meetup.com/New-York-Language-and-Culture-Exchange/events/275759944,ny,New York,422 W 57th St (entrance to the right of Trinity Church),https://www.google.com/maps/search/?api=1&query=40.768154%2C-73.986938
https://www.meetup.com/JC-Studios-Music-Jam/events/275777858,NJ,Jersey City,143 Christopher Columbus Dr,https://www.google.com/maps/search/?api=1&query=40.719975%2C-74.045036
https://www.meetup.com/MAYBELLE-CARTER-NYC-WOMENS-STRING-INSTRUMENTS-WORKSHOP-R-TM/events/275775803, ,New York,ISP GS100,https://www.google.com/maps/search/?api=1&query=ISP+GS100%2C+New+York%2C+NY%2C+10038%2C+US
https://www.meetup.com/NYC-Songwriting-Meetup/events/239646194, ,New York,239 West 14th Street,https://www.google.com/maps/search/?api=1&query=40.739430%2C-74.001190
https://www.meetup.com/Empire-Pub-Crawl-New-York-City/events/275760771,NY,New York,,https://www.google.com/maps/search/?api=1&query=West+Village%2C+New+York%2C+NY%2C+us&query_place_id=ChIJY1SflpRZwokRhLCM-FupOe8
https://www.meetup.com/Dapper-Dans-of-Harmony/events/275734985,NJ,Caldwell,326 Bloomfield Ave,https://www.google.com/maps/search/?api=1&query=326+Bloomfield+Ave%2C+Caldwell%2C+NJ%2C+us
https://www.meetup.com/Big-Apple-Chorus/events/275572844,NY,New York,111 East 33rd St.,https://www.google.com/maps/search/?api=1&query=40.746433%2C-73.981026
https://www.meetup.com/Karaoke-Fridays-at-the-Mexican-Cantina-in-Clifton-NJ/events/275790161, ,Clifton,709 Van Houten Ave,https://www.google.com/maps/search/?api=1&query=40.859852%2C-74.151207
https://www.meetup.com/SOMETHING-TO-SING-ABOUT-IN-NEW-YORK/events/275725524,NY,New York,484 W 43rd St,https://www.google.com/maps/search/?api=1&query=40.760002%2C-73.994858
https://www.meetup.com/North-Jersey-Karaoke-Klub/events/275790160,NJ,Clifton,709 Van Houten Ave,https://www.google.com/maps/search/?api=1&query=40.859829%2C-74.151382
