,state,city,category,event_name,group_name,attendees,lat,lng,population,venue_event_link,event_state,event_city,event_street,Google_Map_Link
667,NJ,Linden,Sci-Fi & Games,Tomb of Annihilation! Homebrew,Maplewood hobby organized play,2,40.6251,-74.2381,42361,https://www.meetup.com/Maplewood-hobby-ORGANIZED-play/events/275134726,NJ,Maplewood,1970 Springfield Ave,https://www.google.com/maps/search/?api=1&query=40.720135%2C-74.274269
668,NJ,Linden,Sci-Fi & Games,World's End,Central Jersey Dungeons & Dragons,3,40.6251,-74.2381,42361,https://www.meetup.com/CNJDND/events/275774565,NJ,Edison ,Contact Scott,https://www.google.com/maps/search/?api=1&query=40.547092%2C-74.334732
669,NJ,Linden,Sci-Fi & Games,Sunday Magic Draft!,Maplewood Magic,1,40.6251,-74.2381,42361,https://www.meetup.com/Maplewood-Magic-The-Gathering-Meetup/events/275836086,NJ,Maplewood,1970 Springfield Ave,https://www.google.com/maps/search/?api=1&query=1970+Springfield+Ave%2C+Maplewood%2C+NJ%2C+07040%2C+us
670,NJ,Linden,Sci-Fi & Games,Free Live Poker Tuesday - The Station Bar & Grill - Free Prizes & More!,WorldFreePoker.com,1,40.6251,-74.2381,42361,https://www.meetup.com/worldfreepoker/events/275875693,NJ,Garwood,99 Center St Ste A,https://www.google.com/maps/search/?api=1&query=99+Center+St+Ste+A%2C+Garwood%2C+NJ%2C+07027%2C+us
673,NJ,Linden,Beliefs,Crossroads Christian Fellowship Super Bowl Mens Breakfast.,Central Jersey Christian Singles Social Meetup,2,40.6251,-74.2381,42361,https://www.meetup.com/Central-Jersey-Christian-social-Meetup/events/275837361,NJ,Union,2815 Morris Ave,https://www.google.com/maps/search/?api=1&query=40.707382%2C-74.299210
674,NJ,Linden,Hobbies & Crafts,Rockin' Knitters -  Virtual meetings until further notice,Rockin' Knitters  Meetup Group,4,40.6251,-74.2381,42361,https://www.meetup.com/Rockinknitters-Meetup-Group/events/275229623,NJ,Union,1023 Stuyvesant Ave,https://www.google.com/maps/search/?api=1&query=40.696686%2C-74.268845
675,NJ,Linden,Social,Sip.Create.SingYourHeartOut,Sip & Socialize,27,40.6251,-74.2381,42361,https://www.meetup.com/SIP-SHOP-AND-SOCIALIZE/events/264868497,NJ,Rahway,275 E Grand Ave,https://www.google.com/maps/search/?api=1&query=40.608810%2C-74.267690
676,NJ,Kearny,Family,West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,40.7528,-74.1202,41058,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8
677,NJ,Kearny,Family,Sunday Morning Prenatal Yoga,West Orange Pregnancy Meetup,1,40.7528,-74.1202,41058,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275824180,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8
678,NJ,Kearny,Family,My Gym Little Bundles Classes,JCFamilies,1,40.7528,-74.1202,41058,https://www.meetup.com/JCFamilies/events/275886037,NJ,Jersey City,252 9th St,https://www.google.com/maps/search/?api=1&query=My+Gym+Jersey+City%2C+252+9th+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJ4zCr0U1XwokRIuPy2hdo2Yo
679,NJ,Kearny,Family,Singalong and Story Time for Kids,Family fun in Brooklyn,2,40.7528,-74.1202,41058,https://www.meetup.com/Family-fun-in-Brooklyn/events/275873427,NY,Brooklyn,695 5th Ave,https://www.google.com/maps/search/?api=1&query=40.661053%2C-73.993462
682,NJ,Kearny,Learning,Central Park Speakers (IN PERSON) - Public Speaking Practice ,Central Park Speakers (in person),4,40.7528,-74.1202,41058,https://www.meetup.com/Central-Park-Speakers-IN-PERSON/events/275874023,NY,New York,10 Columbus Cir,https://www.google.com/maps/search/?api=1&query=The+Shops+at+Columbus+Circle%2C+10+Columbus+Cir%2C+New+York%2C+NY%2C+10019%2C+us&query_place_id=ChIJp3PsL_ZYwokRdBcE-3KTjrg
683,NJ,Kearny,Learning,Jolly January,Humorous Toastmasters,3,40.7528,-74.1202,41058,https://www.meetup.com/Toastmasters-New-York/events/275917096,NY,New York,Online,https://www.google.com/maps/search/?api=1&query=Online%2C+New+York%2C+ny%2C+10001%2C+us
684,NJ,Kearny,Learning,Private Hands on  Ultrasound Training in Regional Anesthesia & Pain Mgt.,Ultrasound Guided Interventional Pain & Regional Anesthesia,1,40.7528,-74.1202,41058,https://www.meetup.com/ultrasound-guided-interventional-pain-regional-anesthesia/events/275896163,NY,New York,675 3rd Ave,https://www.google.com/maps/search/?api=1&query=Meet+in+Place+Midtown%2C+675+3rd+Ave%2C+New+York%2C+NY%2C+10017%2C+us&query_place_id=ChIJaerUsvlZwokRchP3UwiPvAA
685,NJ,Kearny,Learning,ZOOM EVENT: HOW DOES SOCIAL CONTRACT THEORY GUIDE US?,Cafe Philo New York,2,40.7528,-74.1202,41058,https://www.meetup.com/New-York-Cafe-Philo/events/275901201,NY,New York,10 South William St,https://www.google.com/maps/search/?api=1&query=40.704727%2C-74.010640
686,NJ,Kearny,Photography,Photography thru The Museum of Modern Art,Michael Downey Photography,3,40.7528,-74.1202,41058,https://www.meetup.com/MAD-Photo-Excursions/events/275653633,NY,New York,11 W 53rd St,https://www.google.com/maps/search/?api=1&query=40.761433%2C-73.977620
687,NJ,Kearny,Photography,"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,1,40.7528,-74.1202,41058,https://www.meetup.com/photography-classes-nyc/events/274851102,NY,New York,51 W 14th St #3r,https://www.google.com/maps/search/?api=1&query=40.737290%2C-73.995834
688,NJ,Kearny,Food & Drink,Wine and Chocolate at Le Prive,Wine and Chocolate,12,40.7528,-74.1202,41058,https://www.meetup.com/meetup-group-fnuzmite/events/275581098,NY,New York,626 10th Ave,https://www.google.com/maps/search/?api=1&query=40.761124%2C-73.994040
689,NJ,Kearny,Food & Drink,Let’s meet some wolves ,A little bit of this and a little of that,25,40.7528,-74.1202,41058,https://www.meetup.com/A-little-bit-of-this-and-a-little-of-that/events/275427276,NJ,Columbia,89 Mount Pleasant Road,https://www.google.com/maps/search/?api=1&query=89+Mount+Pleasant+Road%2C+Columbia%2C+NJ%2C+07832%2C+us
690,NJ,Kearny,Food & Drink,🎉New Year Wine & Design 🍷🖌Wine glass painting)🎨,New Jersey Foodies & Drinkies,6,40.7528,-74.1202,41058,https://www.meetup.com/New-Jersey-Foodies-Drinkies/events/275313732,NJ,Secaucus,151 Front St,https://www.google.com/maps/search/?api=1&query=40.790756%2C-74.058950
691,NJ,Kearny,Food & Drink,Sunday Brunch,Weekend Brunch Meetup,22,40.7528,-74.1202,41058,https://www.meetup.com/Weekend-Brunch-Meetup/events/273634431,NY,New York,105th and Broadway ,https://www.google.com/maps/search/?api=1&query=105th+and+Broadway+%2C+New+York%2C+NY%2C+us
692,NJ,Kearny,Food & Drink,Vegan Trifecta in Greenpoint,NYC Vegans,101,40.7528,-74.1202,41058,https://www.meetup.com/nycvegans/events/269358168,NY,Brooklyn,620 Manhattan Ave,https://www.google.com/maps/search/?api=1&query=40.723590%2C-73.950500
693,NJ,Kearny,Food & Drink,Learn to Make Mochi,Culinary Enthusiasts of NYC,1,40.7528,-74.1202,41058,https://www.meetup.com/Culinary-Enthusiasts-of-NYC/events/275831778,NY,New York,116 E 7th Street,https://www.google.com/maps/search/?api=1&query=40.726299%2C-73.984497
695,NJ,Kearny,Food & Drink,Tequilla & Mezcal Tasting (Heated Outdoor Patio),Wine Events and Other Socials,12,40.7528,-74.1202,41058,https://www.meetup.com/Affordable-Wine-Tastings-and-Social-for-Beginners/events/275908852,NY,Brooklyn,75A 5th Ave,https://www.google.com/maps/search/?api=1&query=40.680400%2C-73.977554
696,NJ,Kearny,LGBTQ,Black Lotus Project: A Virtual Gathering of Black Bisexual+ Men,NYC Tri-State Area Bisexual+ SGL Queer & Questioning Meetup,6,40.7528,-74.1202,41058,https://www.meetup.com/bisexual-nyc/events/275652731,NY,New York,Virtual Online Meeting,https://www.google.com/maps/search/?api=1&query=Virtual+Online+Meeting%2C+New+York%2C+ny%2C+10001%2C+us
697,NJ,Kearny,LGBTQ,"Book to be discussed:  ""Swimming in the Dark"" by Tomasz Jedrowski",NYC Gay Guys' Book Club,16,40.7528,-74.1202,41058,https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,NY,Manhattan,425 Avenue of the Americas (Sixth Avenue and 10th Street,https://www.google.com/maps/search/?api=1&query=40.734240%2C-73.999084
698,NJ,Kearny,LGBTQ,Brunch @Blvd Bistro,KINGZ,5,40.7528,-74.1202,41058,https://www.meetup.com/KINGZ-A-Black-Gay-Collective/events/275806244,NY,New York ,2149 Frederick Douglass Blvd,https://www.google.com/maps/search/?api=1&query=2149+Frederick+Douglass+Blvd%2C+New+York+%2C+NY%2C+10026%2C+us
699,NJ,Kearny,LGBTQ,"Book to be discussed: ""The White Guard"" by Mikhail Bulgakov",The Third Monday Gay Men's Book Club,6,40.7528,-74.1202,41058,https://www.meetup.com/The-Third-Monday-Gay-Guys-Book-Club/events/275709827,NY,New York,939 Lexington Avenue (between E. 68th & E. 69th Streets),https://www.google.com/maps/search/?api=1&query=40.767810%2C-73.962010
700,NJ,Kearny,LGBTQ,LGBT Women ,Come Out & Talk LGBT Females Forty & Up,2,40.7528,-74.1202,41058,https://www.meetup.com/Come-Out-Talk-LGBT-Females-Forty-Up/events/275919245,NJ,Maplewood,600 Ridgewood Rd,https://www.google.com/maps/search/?api=1&query=600+Ridgewood+Rd%2C+Maplewood%2C+NJ%2C+07040%2C+us
