Unnamed: 0,state,city,category,event_name,group_name,attendees,lat,lng,population,venue_event_link,event_state,event_city,event_street,Google_Map_Link,city_event_lat,city_event_lng
45,NJ,Newark,Learning,ZOOM EVENT: HOW DOES SOCIAL CONTRACT THEORY GUIDE US?,Cafe Philo New York,2,40.7245,-74.1725,282011,https://www.meetup.com/New-York-Cafe-Philo/events/275901201,NY,New York,10 South William St,https://www.google.com/maps/search/?api=1&query=40.704727%2C-74.010640,40.7127281,-74.0060152
46,NJ,Newark,Photography,"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,1,40.7245,-74.1725,282011,https://www.meetup.com/photography-classes-nyc/events/274851102,NY,New York,51 W 14th St #3r,https://www.google.com/maps/search/?api=1&query=40.737290%2C-73.995834,40.7127281,-74.0060152
48,NJ,Newark,Writing,The Cornwall Writers' Circle,The Cornwall Writers Circle,4,40.7245,-74.1725,282011,https://www.meetup.com/The-Cornwall-Writers-Circle/events/275886062,NY,New York,See Description Box for,https://www.google.com/maps/search/?api=1&query=40.742947%2C-73.984604,40.7127281,-74.0060152
49,NJ,Newark,Writing,Writing Workshop,Panera Collective -- Novel Writing Workshop,1,40.7245,-74.1725,282011,https://www.meetup.com/Panera-Collective/events/275831786,NY,Brooklyn,345 Adams St.,https://www.google.com/maps/search/?api=1&query=40.692776%2C-73.988472,40.6501038,-73.9495823
50,NJ,Newark,Writing,Shut Up & Write!® East Village/Lower East Side,Shut Up & Write!® NYC,1,40.7245,-74.1725,282011,https://www.meetup.com/shutupandwriteNYC/events/275919961,NY,New York,26 1st Avenue,https://www.google.com/maps/search/?api=1&query=40.723694%2C-73.987831,40.7127281,-74.0060152
52,NJ,Newark,Movements,Regular Meeting,Alternative Banking Group - Occupy Wall Street of NYC,2,40.7245,-74.1725,282011,https://www.meetup.com/Alternative-Banking-Group-Occupy-Wall-Street-of-NYC/events/275790758,NY,New York,Cyberspace,https://www.google.com/maps/search/?api=1&query=Cyberspace%2C+New+York%2C+ny%2C+10001%2C+us,40.7127281,-74.0060152
53,NJ,Newark,Movements,Rise and Resist Meeting,Rise and Resist,1,40.7245,-74.1725,282011,https://www.meetup.com/rise-and-resist/events/275876132,NY,Brooklyn,320 West 37th Street,https://www.google.com/maps/search/?api=1&query=320+West+37th+Street%2C+Brooklyn%2C+ny%2C+10018%2C+us,40.6501038,-73.9495823
54,NJ,Newark,Movements,"Dismantle Patriarchy Art Contest for Students, deadline 2/28/21",Radical Feminist Activists,1,40.7245,-74.1725,282011,https://www.meetup.com/RadFemActivists/events/274910866,NY,New York,New York,https://www.google.com/maps/search/?api=1&query=New+York%2C+New+York%2C+ny%2C+10001%2C+us,40.7127281,-74.0060152
55,NJ,Newark,Movements,"Volunteer with 10,000 PB&Js",Volunteer NYC,2,40.7245,-74.1725,282011,https://www.meetup.com/volunteernyc/events/275837257,NY,New York,32nd Street and 7th Avenue,https://www.google.com/maps/search/?api=1&query=32nd+Street+and+7th+Avenue%2C+New+York%2C+NY%2C+10001%2C+us,40.7127281,-74.0060152
56,NJ,Newark,Movements,Monthly Meetup ( Meet others passionate about permaculture and share projects).,The New York Permaculture Meetup,6,40.7245,-74.1725,282011,https://www.meetup.com/nycpermaculture/events/275771409,NY,New York,1095 Sixth Ave ,https://www.google.com/maps/search/?api=1&query=1095+Sixth+Ave+%2C+New+York%2C+NY%2C+10018%2C+us,40.7127281,-74.0060152
57,NJ,Newark,Movements,An-Cap After Work,New York Anarcho-Capitalist Meetup,1,40.7245,-74.1725,282011,https://www.meetup.com/nycancap/events/275897559,NY,New York,10 West 33rd Street,https://www.google.com/maps/search/?api=1&query=10+West+33rd+Street%2C+New+York%2C+NY%2C+us,40.7127281,-74.0060152
58,NJ,Newark,Movements,The Original Drinking Liberally Weekly Thursday Meetup,Drinking Liberally Downtown Brooklyn and NYC,1,40.7245,-74.1725,282011,https://www.meetup.com/Drinking-Liberally-Downtown-Brooklyn/events/275918383,NY,New York,627 9th Ave,https://www.google.com/maps/search/?api=1&query=Rudy%27s+Bar+%26+Grill%2C+627+9th+Ave%2C+New+York%2C+NY%2C+10036%2C+us&query_place_id=ChIJOxerSlJYwokRPmpdLA4CpWI,40.7127281,-74.0060152
59,NJ,Newark,Movements,Weekly Thursday Meetup,The Original Drinking Liberally NYC,1,40.7245,-74.1725,282011,https://www.meetup.com/drinkingliberallynyc/events/275918400,NY,New York,627 9th Avenue,https://www.google.com/maps/search/?api=1&query=40.760040%2C-73.991821,40.7127281,-74.0060152
60,NJ,Newark,Movements,thelovemaze.com Singles Wine and Love Sunday @ Brookfield Place,Singles by Neighborhood-,1,40.7245,-74.1725,282011,https://www.meetup.com/Singles-by-Neighborhood/events/275830612,NY,New York,230 Vesey St,https://www.google.com/maps/search/?api=1&query=40.712715%2C-74.015280,40.7127281,-74.0060152
61,NJ,Newark,Movements,MONTHLY NOnprofit and volunteering networking,NYC Non-Profit Meetup Club (NYCNP),1,40.7245,-74.1725,282011,https://www.meetup.com/NYCNonprofit/events/275895490,NY,New York,321 W 44th St #103,https://www.google.com/maps/search/?api=1&query=40.759132%2C-73.989899,40.7127281,-74.0060152
63,NJ,Newark,LGBTQ,LGBT Women ,Come Out & Talk LGBT Females Forty & Up,2,40.7245,-74.1725,282011,https://www.meetup.com/Come-Out-Talk-LGBT-Females-Forty-Up/events/275919245,NJ,Maplewood,600 Ridgewood Rd,https://www.google.com/maps/search/?api=1&query=600+Ridgewood+Rd%2C+Maplewood%2C+NJ%2C+07040%2C+us,40.7312123,-74.2734808
64,NJ,Newark,LGBTQ,Black Lotus Project: A Virtual Gathering of Black Bisexual+ Men,NYC Tri-State Area Bisexual+ SGL Queer & Questioning Meetup,6,40.7245,-74.1725,282011,https://www.meetup.com/bisexual-nyc/events/275652731,NY,New York,Virtual Online Meeting,https://www.google.com/maps/search/?api=1&query=Virtual+Online+Meeting%2C+New+York%2C+ny%2C+10001%2C+us,40.7127281,-74.0060152
65,NJ,Newark,LGBTQ,"Book to be discussed:  ""Swimming in the Dark"" by Tomasz Jedrowski",NYC Gay Guys' Book Club,16,40.7245,-74.1725,282011,https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,NY,Manhattan,425 Avenue of the Americas (Sixth Avenue and 10th Street,https://www.google.com/maps/search/?api=1&query=40.734240%2C-73.999084,40.7896239,-73.9598939
66,NJ,Newark,Film,Steele Wool by Frank A. Cappello,Oddball Cinema,1,40.7245,-74.1725,282011,https://www.meetup.com/Oddball-Cinema/events/275407602,NY,New York,433 E 6th St,https://www.google.com/maps/search/?api=1&query=40.725964%2C-73.984620,40.7127281,-74.0060152
67,NJ,Newark,Hobbies & Crafts,Rockin' Knitters -  Virtual meetings until further notice,Rockin' Knitters  Meetup Group,4,40.7245,-74.1725,282011,https://www.meetup.com/Rockinknitters-Meetup-Group/events/275229623,NJ,Union,1023 Stuyvesant Ave,https://www.google.com/maps/search/?api=1&query=40.696686%2C-74.268845,40.6976019,-74.2632024
68,NJ,Jersey City,Family,Singalong and Story Time for Kids,Family fun in Brooklyn,2,40.7161,-74.0682,262075,https://www.meetup.com/Family-fun-in-Brooklyn/events/275873427,NY,Brooklyn,695 5th Ave,https://www.google.com/maps/search/?api=1&query=40.661053%2C-73.993462,40.6501038,-73.9495823
69,NJ,Jersey City,Family,My Gym Little Bundles Classes,JCFamilies,1,40.7161,-74.0682,262075,https://www.meetup.com/JCFamilies/events/275886037,NJ,Jersey City,252 9th St,https://www.google.com/maps/search/?api=1&query=My+Gym+Jersey+City%2C+252+9th+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJ4zCr0U1XwokRIuPy2hdo2Yo,40.7281575,-74.0776417
70,NJ,Jersey City,Family,West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,40.7161,-74.0682,262075,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353
71,NJ,Jersey City,Family,Sunday Morning Prenatal Yoga,West Orange Pregnancy Meetup,1,40.7161,-74.0682,262075,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275824180,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353
74,NJ,Jersey City,Learning,Central Park Speakers (IN PERSON) - Public Speaking Practice ,Central Park Speakers (in person),4,40.7161,-74.0682,262075,https://www.meetup.com/Central-Park-Speakers-IN-PERSON/events/275874023,NY,New York,10 Columbus Cir,https://www.google.com/maps/search/?api=1&query=The+Shops+at+Columbus+Circle%2C+10+Columbus+Cir%2C+New+York%2C+NY%2C+10019%2C+us&query_place_id=ChIJp3PsL_ZYwokRdBcE-3KTjrg,40.7127281,-74.0060152
75,NJ,Jersey City,Learning,Private Hands on  Ultrasound Training in Regional Anesthesia & Pain Mgt.,Ultrasound Guided Interventional Pain & Regional Anesthesia,1,40.7161,-74.0682,262075,https://www.meetup.com/ultrasound-guided-interventional-pain-regional-anesthesia/events/275896163,NY,New York,675 3rd Ave,https://www.google.com/maps/search/?api=1&query=Meet+in+Place+Midtown%2C+675+3rd+Ave%2C+New+York%2C+NY%2C+10017%2C+us&query_place_id=ChIJaerUsvlZwokRchP3UwiPvAA,40.7127281,-74.0060152
